what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426695570024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426695584079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1426695590343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426695630224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426696769188
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426696800994
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426696801083
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426696801166
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426696810103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426696846039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426696926088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426696980399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701117938
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426701121122
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426701122580
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1426701126272
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426701126275
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426701126278
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426701128978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701131477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701133692
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1426701136597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701136864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701144789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701144799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701148395
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426701149065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701151939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701300745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701300859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701301400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426701304658
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426701307034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701309171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701344197
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426701346562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426701348688
