what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426703808180
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426703809675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703811981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703814119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703819218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703822573
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1426703822576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703822878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703823713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703823744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703825762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703827860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703831452
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426703832263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703835711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703843961
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1426703843965
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426703844883
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426703845865
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426703849485
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426703880248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703881401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1426703881411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703887486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703911051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703920840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703926644
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426703928017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703928038
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426703928046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703940380
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426703949912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703949934
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426703949941
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426703964258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426703964899
