what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426706128499
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426706128502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706130550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706133661
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1426706133666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706134076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706134550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706135134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706137165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706139222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706142827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706146048
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1426706148119
started,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1426706149467
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1426706178480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706207483
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1426706207496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706210497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706212651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706215772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706221114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706222676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706223359
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1426706223362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706223651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706224003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706224553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706226630
