what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1426705943536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705945497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705945764
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426705946902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705950138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705952302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705957242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705959284
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1426705959288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705959577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705959892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705960436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705962457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705964577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705968143
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1426705975274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426705975280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426706052384
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1426706062692
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1426706062874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706080780
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1426706080789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706083529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706087545
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426706091095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706098884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706099821
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426706100512
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1426706100641
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1426706100644
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1426706100644
stopped,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1426706100644
stopped,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426706100644
stopped,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1426706100644
stopped,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1426706100647
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1426706100647
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1426706100647
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1426706100647
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1426706100647
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1426706100647
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1426706100647
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1426706100647
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1426706100647
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1426706100647
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1426706100647
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1426706100647
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1426706100647
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1426706100647
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426706100648
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1426706100648
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1426706100648
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1426706100648
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1426706100648
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1426706100648
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1426706100648
